"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.297607717E1,6.506638470E1,2.550416940E1,NaN,NaN,NaN,1.200000000E3,0.000000000E0
2.360546808E1,6.506638470E1,2.550416940E1,NaN,NaN,NaN,1.204402954E3,0.000000000E0
2.598507717E1,6.506978167E1,2.550253667E1,1.311511786E1,4.910449982E-1,4.590000153E0,7.199999809E0,1.161999969E2
2.698507717E1,6.506977333E1,2.550241500E1,1.281512940E1,2.130949944E-1,4.590000153E0,4.699999809E0,5.150000000E1
2.819107717E1,6.506978500E1,2.550237333E1,6.015128243E0,1.317688823E-1,4.590000153E0,3.099999905E0,2.470000076E1
2.919107717E1,6.506978833E1,2.550235667E1,6.415128249E0,2.753763795E-1,4.590000153E0,2.900000095E0,2.389999962E1
3.019107717E1,6.506979333E1,2.550235667E1,6.815126488E0,2.712586224E-1,4.590000153E0,2.700000048E0,2.400000000E1
3.119107717E1,6.506979167E1,2.550235667E1,6.815127075E0,3.731736243E-1,9.076999664E1,2.599999905E0,2.410000038E1
3.219107717E1,6.506978333E1,2.550238167E1,5.715128241E0,6.222991943E-1,1.005800018E2,2.500000000E0,2.200000000E1
3.319107717E1,6.506977833E1,2.550239333E1,6.015129176E0,7.952458262E-1,8.655000305E1,2.400000095E0,1.989999962E1
3.419107717E1,6.506977833E1,2.550241000E1,6.215127997E0,7.118608356E-1,8.038999939E1,2.299999952E0,1.860000038E1
3.519107717E1,6.506978000E1,2.550242667E1,7.115126232E0,8.106874824E-1,6.730999756E1,2.200000048E0,1.720000076E1
3.619107717E1,6.506978333E1,2.550243500E1,7.715124469E0,7.911280394E-1,5.493999863E1,2.099999905E0,1.639999962E1
3.719107717E1,6.506978333E1,2.550247000E1,1.011512199E1,8.297322392E-1,5.159999847E1,1.799999952E0,1.339999962E1
3.819107717E1,6.506978500E1,2.550249500E1,1.051511964E1,9.913550019E-1,4.922999954E1,1.700000048E0,1.310000038E1
3.919107717E1,6.506979000E1,2.550251667E1,1.071511635E1,1.308938622E0,2.407999992E1,1.600000024E0,1.260000038E1
3.969107717E1,6.506979167E1,2.550253333E1,1.131511458E1,1.316144705E0,3.468999863E1,1.600000024E0,1.219999981E1
4.019107717E1,6.506979667E1,2.550254333E1,1.111511211E1,1.039224148E0,2.893000031E1,1.500000000E0,1.210000038E1
4.069107717E1,6.506980000E1,2.550255000E1,1.121511047E1,1.051577449E0,3.231000137E1,1.399999976E0,1.210000038E1
4.219107717E1,6.506981000E1,2.550257500E1,1.181510518E1,1.082460880E0,4.720000076E1,1.500000000E0,1.230000019E1
4.319107717E1,6.506981333E1,2.550259500E1,1.201510259E1,1.246142507E0,4.111000061E1,1.500000000E0,1.250000000E1
4.419107717E1,6.506982000E1,2.550261333E1,1.191509895E1,1.150918841E0,3.613999939E1,1.399999976E0,1.289999962E1
4.519107717E1,6.506982500E1,2.550263333E1,1.211509578E1,1.097902536E0,4.520000076E1,1.399999976E0,1.289999962E1
4.619107717E1,6.506983000E1,2.550264667E1,1.221509307E1,1.110770583E0,4.931000137E1,1.399999976E0,1.319999981E1
4.719107717E1,6.506983833E1,2.550266167E1,1.241508908E1,1.142168641E0,3.436999893E1,1.399999976E0,1.380000019E1
4.819107717E1,6.506984667E1,2.550267500E1,1.251508521E1,1.109226346E0,4.300000000E1,1.399999976E0,1.339999962E1
4.919107717E1,6.506985667E1,2.550268500E1,1.241508098E1,1.085034490E0,3.593999863E1,1.299999952E0,1.310000038E1
5.019107717E1,6.506986667E1,2.550269500E1,1.251507676E1,1.103564501E0,3.076000023E1,1.299999952E0,1.280000019E1
5.119107717E1,6.506987667E1,2.550271000E1,1.231507218E1,1.104593873E0,5.413000107E1,1.299999952E0,1.280000019E1
5.219107717E1,6.506988333E1,2.550272167E1,1.221506901E1,1.075254679E0,5.627999878E1,1.299999952E0,1.289999962E1
5.319107717E1,6.506989000E1,2.550273167E1,1.211506596E1,1.052606940E0,3.831999969E1,1.299999952E0,1.310000038E1
5.419107717E1,6.506990000E1,2.550274333E1,1.211506161E1,1.040253639E0,2.845000076E1,1.299999952E0,1.339999962E1
5.519107717E1,6.506990667E1,2.550275500E1,1.211505844E1,1.065474987E0,4.161000061E1,1.299999952E0,1.339999962E1
5.619107717E1,6.506991333E1,2.550277167E1,1.231505492E1,1.081431389E0,3.613999939E1,1.399999976E0,1.319999981E1
5.719107717E1,6.506992167E1,2.550278500E1,1.231505105E1,1.086063862E0,3.579999924E1,1.399999976E0,1.280000019E1
5.819107717E1,6.506993333E1,2.550280333E1,1.231504565E1,1.129815221E0,3.950999832E1,1.399999976E0,1.210000038E1
5.919107717E1,6.506994333E1,2.550282167E1,1.231504084E1,1.144742250E0,3.529000092E1,1.299999952E0,1.189999962E1
6.019107717E1,6.506995333E1,2.550283667E1,1.231503626E1,1.132903576E0,4.088999939E1,1.299999952E0,1.200000000E1
6.119107717E1,6.506996167E1,2.550285500E1,1.221503203E1,1.144227505E0,4.393000031E1,1.299999952E0,1.219999981E1
6.219107717E1,6.506996833E1,2.550287167E1,1.221502851E1,1.195699692E0,4.111000061E1,1.200000048E0,1.219999981E1
6.319107717E1,6.506997833E1,2.550288667E1,1.211502394E1,1.235333323E0,3.599000168E1,1.299999952E0,1.250000000E1
6.419107717E1,6.506998833E1,2.550290500E1,1.201501913E1,1.255922198E0,3.961000061E1,1.299999952E0,1.250000000E1
6.519107717E1,6.506999833E1,2.550291833E1,1.191501467E1,1.256951690E0,3.904000092E1,1.299999952E0,1.300000000E1
6.619107717E1,6.507000833E1,2.550293333E1,1.161501009E1,1.272908092E0,3.656999969E1,1.299999952E0,1.260000038E1
6.719107717E1,6.507001833E1,2.550294667E1,1.141500564E1,1.252319217E0,3.847000122E1,1.299999952E0,1.230000019E1
6.819107717E1,6.507002833E1,2.550296000E1,1.131500118E1,1.227097750E0,3.206999969E1,1.299999952E0,1.250000000E1
6.919107717E1,6.507003667E1,2.550297500E1,1.111499719E1,1.238421679E0,4.025000000E1,1.299999952E0,1.269999981E1
7.019107717E1,6.507004667E1,2.550298833E1,1.091499273E1,1.277540565E0,3.220000076E1,1.299999952E0,1.269999981E1
